"ISO2","Continent","time","GDP","logGDP","cumGDP","lagGDP"
"BR","SA",2011,14300.7406589422,9.56806660923834,114430.682400123,14043.3730871341
"BR","SA",2012,14323.1358759394,9.56963140229072,128753.818276062,14300.7406589422
"BS","AN",2003,25405.6653625034,10.1427274739035,25405.6653625034,NA
"BS","AN",2004,25091.2934631239,10.1302761909661,50496.9588256273,25405.6653625034
"BS","AN",2005,25415.9766949636,10.1431332590054,75912.9355205909,25091.2934631239
"BS","AN",2006,25548.4019801812,10.1483300488688,101461.337500772,25415.9766949636
"BS","AN",2007,25430.9743537383,10.1437231728115,126892.31185451,25548.4019801812
"BS","AN",2008,24391.3659840492,10.1019844955478,151283.67783856,25430.9743537383
"BS","AN",2009,22967.3392185664,10.0418284517322,174251.017057126,24391.3659840492
"BS","AN",2010,22932.2253025708,10.0402984187912,197183.242359697,22967.3392185664
"BS","AN",2011,22807.3017109175,10.0348360141521,219990.544070614,22932.2253025708
"BS","AN",2012,22694.2794564162,10.0298681653853,242684.823527031,22807.3017109175
"BT","AS",2003,4246.6163968974,8.35387780292269,4246.6163968974,NA
"BT","AS",2004,4372.7933966794,8.38315730508288,8619.4097935768,4246.6163968974
"BT","AS",2005,4565.2437645057,8.42622719018079,13184.6535580825,4372.7933966794
"BT","AS",2006,4766.8926520496,8.46944993597699,17951.5462101321,4565.2437645057
"BT","AS",2007,5507.2343743642,8.61381784771117,23458.7805844963,4766.8926520496
"BT","AS",2008,5663.1880076125,8.64174226485859,29121.9685921088,5507.2343743642
"BT","AS",2009,5934.0368266029,8.68846000686503,35056.0054187117,5663.1880076125
"BT","AS",2010,6515.504349179,8.78193990009744,41571.5097678907,5934.0368266029
"BT","AS",2011,6909.2688325698,8.84061909822099,48480.7786004605,6515.504349179
"BT","AS",2012,7138.4053780952,8.87324469398911,55619.1839785557,6909.2688325698
"BW","AF",2003,10949.0321390866,9.30100634221359,10949.0321390866,NA
"BW","AF",2004,11111.0766628303,9.31569778728393,22060.1088019169,10949.0321390866
"BW","AF",2005,11486.9016147124,9.34896267518424,33547.0104166293,11111.0766628303
"BW","AF",2006,12269.4776661815,9.41486996680547,45816.4880828108,11486.9016147124
"BW","AF",2007,13200.773454747,9.48803070191443,59017.2615375578,12269.4776661815
"BW","AF",2008,13584.3504470081,9.51667370673191,72601.6119845659,13200.773454747
"BW","AF",2009,12403.7666202775,9.42575546516729,85005.3786048434,13584.3504470081
"BW","AF",2010,13349.2060359911,9.49921218910034,98354.5846408345,12403.7666202775
"BW","AF",2011,14050.7045922619,9.55042782241991,112405.289233096,13349.2060359911
"BW","AF",2012,14531.006265535,9.58404000850462,126936.295498631,14050.7045922619
"BY","EU",2003,8778.3013228862,9.08003819671372,8778.3013228862,NA
"BY","EU",2004,9850.7619262929,9.19530408409769,18629.0632491791,8778.3013228862
"BY","EU",2005,10851.4558021169,9.29205452527822,29480.519051296,9850.7619262929
"BY","EU",2006,12009.931190904,9.39348918574071,41490.4502422,10851.4558021169
"BY","EU",2007,13102.8148289897,9.48058235854943,54593.2650711897,12009.931190904
"BY","EU",2008,14487.7966584077,9.58106196429135,69081.0617295974,13102.8148289897
"BY","EU",2009,14548.8383311762,9.58526642963057,83629.9000607736,14487.7966584077
"BY","EU",2010,15703.1116906868,9.66161416855703,99333.0117514604,14548.8383311762
"BY","EU",2011,16603.3895298874,9.71736214204842,115936.401281348,15703.1116906868
"BY","EU",2012,16906.9218948791,9.73547839663499,132843.323176227,16603.3895298874
"BZ","AN",2003,8042.1101571642,8.99244678509584,8042.1101571642,NA
"BZ","AN",2004,8203.3576425622,9.0122988180481,16245.4677997264,8042.1101571642
"BZ","AN",2005,8201.9321931753,9.01212503880924,24447.3999929017,8203.3576425622
"BZ","AN",2006,8360.4904677298,9.03127237274656,32807.8904606315,8201.9321931753
"BZ","AN",2007,8239.9428804413,9.01674869089421,41047.8333410728,8360.4904677298
"BZ","AN",2008,8293.0961262144,9.02317865563139,49340.9294672872,8239.9428804413
"BZ","AN",2009,8144.9222093106,9.00514997026133,57485.8516765978,8293.0961262144
"BZ","AN",2010,8208.963130727,9.01298190101488,65694.8148073248,8144.9222093106
"BZ","AN",2011,8178.0169640517,9.00920497527456,73872.8317713765,8208.963130727
"BZ","AN",2012,8286.9591592828,9.02243837254956,82159.7909306593,8178.0169640517
"CA","AN",2003,38564.093615212,10.5600769053099,38564.093615212,NA
"CA","AN",2004,39377.9744612093,10.5809619151468,77942.0680764213,38564.093615212
"CA","AN",2005,40225.009564018,10.6022442096236,118167.077640439,39377.9744612093
"CA","AN",2006,40951.9941376795,10.6201557849864,159119.071778119,40225.009564018
"CA","AN",2007,41371.2450066122,10.6303413534337,200490.316784731,40951.9941376795
"CA","AN",2008,41406.9947377023,10.6312051005591,241897.311522433,41371.2450066122
"CA","AN",2009,39825.6955748253,10.5922676004092,281723.007097259,41406.9947377023
"CA","AN",2010,40713.4488826392,10.6143137562245,322436.455979898,39825.6955748253
"CA","AN",2011,41332.5300625014,10.6294051217585,363768.986042399,40713.4488826392
"CA","AN",2012,41541.1151715076,10.634438942797,405310.101213907,41332.5300625014
"CD","AF",2003,563.1887169314,6.33361477078555,563.1887169314,NA
"CD","AF",2004,583.7874835793,6.36953701862064,1146.9762005107,563.1887169314
"CD","AF",2005,601.934563858,6.40014874149048,1748.9107643687,583.7874835793
"CD","AF",2006,616.1408614429,6.42347560856579,2365.0516258116,601.934563858
"CD","AF",2007,636.4152750669,6.45585129848058,3001.4669008785,616.1408614429
"CD","AF",2008,657.3025456127,6.48814440809438,3658.7694464912,636.4152750669
